               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.034362,            0.028584,            0.021488,             0.94553,             0.90258,             0.94301,             0.64189,            0.031878,            0.011969,             0.01005,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034183,            0.028626,            0.021492,             0.94656,             0.90183,             0.94308,             0.64171,            0.031875,            0.011967,            0.010018,            0.005941,            0.005941,            0.005941
                  84,            0.034149,            0.028369,            0.021343,             0.94664,             0.90157,             0.94319,             0.64179,            0.031873,            0.011964,            0.010003,           0.0058915,           0.0058915,           0.0058915
                  85,            0.034081,             0.02845,            0.021466,             0.94754,             0.90177,             0.94367,             0.64183,            0.031872,            0.011961,           0.0099898,            0.005842,            0.005842,            0.005842
                  86,            0.034255,            0.028586,            0.021466,             0.94809,             0.90125,             0.94292,             0.64173,            0.031872,            0.011961,           0.0099808,           0.0057925,           0.0057925,           0.0057925
                  87,            0.034078,            0.028324,            0.021351,              0.9488,             0.90093,             0.94322,             0.64186,            0.031868,            0.011959,           0.0099679,            0.005743,            0.005743,            0.005743
                  88,            0.034081,            0.028448,            0.021346,             0.94917,             0.90162,             0.94407,             0.64234,            0.031863,            0.011957,           0.0099505,           0.0056935,           0.0056935,           0.0056935
                  89,            0.034174,             0.02858,            0.021507,             0.94878,             0.90178,             0.94413,             0.64263,            0.031857,            0.011956,           0.0099324,            0.005644,            0.005644,            0.005644
                  90,            0.033934,            0.028209,            0.021197,             0.94892,             0.90161,             0.94456,             0.64238,            0.031855,            0.011955,           0.0099209,           0.0055945,           0.0055945,           0.0055945
                  91,            0.033899,            0.028352,            0.021312,             0.94878,             0.90069,             0.94403,             0.64277,            0.031851,            0.011951,           0.0099118,            0.005545,            0.005545,            0.005545
                  92,            0.033941,            0.028454,            0.020916,             0.94943,             0.90093,             0.94398,             0.64267,            0.031849,            0.011949,           0.0099036,           0.0054955,           0.0054955,           0.0054955
                  93,            0.033839,             0.02807,             0.02102,             0.94876,             0.90115,             0.94411,             0.64294,            0.031845,            0.011946,           0.0098897,            0.005446,            0.005446,            0.005446
                  94,            0.033757,            0.028106,            0.020942,             0.94785,             0.90223,             0.94396,             0.64299,            0.031841,            0.011944,            0.009875,           0.0053965,           0.0053965,           0.0053965
                  95,            0.033757,            0.028419,            0.021189,             0.94737,             0.90264,             0.94376,              0.6431,            0.031837,            0.011943,           0.0098665,            0.005347,            0.005347,            0.005347
                  96,            0.033557,            0.027772,            0.021009,             0.94655,             0.90461,             0.94461,             0.64279,            0.031832,            0.011942,           0.0098562,           0.0052975,           0.0052975,           0.0052975
                  97,            0.033765,            0.028285,            0.021098,             0.94647,             0.90394,             0.94437,             0.64309,            0.031823,            0.011939,           0.0098417,            0.005248,            0.005248,            0.005248
                  98,            0.033486,            0.027959,             0.02075,             0.94664,             0.90456,             0.94439,             0.64335,            0.031818,            0.011936,            0.009832,           0.0051985,           0.0051985,           0.0051985
                  99,            0.033603,            0.028004,            0.020875,             0.94714,             0.90451,             0.94481,             0.64326,             0.03181,            0.011934,           0.0098188,            0.005149,            0.005149,            0.005149
                 100,            0.033643,            0.027699,            0.020708,             0.94709,             0.90441,             0.94471,             0.64339,            0.031805,            0.011933,           0.0098067,           0.0050995,           0.0050995,           0.0050995
                 101,            0.033632,            0.028232,            0.020921,             0.94821,             0.90406,             0.94479,             0.64364,            0.031796,            0.011931,           0.0097986,             0.00505,             0.00505,             0.00505
                 102,            0.033376,            0.027738,            0.020488,             0.94854,             0.90436,             0.94464,             0.64424,            0.031788,            0.011929,           0.0097928,           0.0050005,           0.0050005,           0.0050005
                 103,            0.033395,            0.027965,            0.020603,             0.94934,             0.90411,              0.9447,             0.64432,            0.031778,            0.011926,           0.0097845,            0.004951,            0.004951,            0.004951
                 104,            0.033621,            0.028088,            0.020826,             0.94942,             0.90407,             0.94454,             0.64424,            0.031771,            0.011926,           0.0097734,           0.0049015,           0.0049015,           0.0049015
                 105,            0.033349,            0.027609,            0.020367,             0.94997,             0.90407,             0.94438,             0.64445,            0.031762,            0.011924,           0.0097681,            0.004852,            0.004852,            0.004852
                 106,             0.03335,            0.027622,            0.020648,             0.94957,             0.90408,             0.94493,             0.64414,            0.031754,            0.011921,           0.0097556,           0.0048025,           0.0048025,           0.0048025
                 107,            0.033172,            0.027692,            0.020313,             0.94933,             0.90404,             0.94474,             0.64395,            0.031749,            0.011919,           0.0097459,            0.004753,            0.004753,            0.004753
                 108,            0.033372,            0.027796,            0.020517,             0.94968,             0.90423,             0.94482,             0.64421,            0.031743,            0.011918,           0.0097345,           0.0047035,           0.0047035,           0.0047035
                 109,            0.033214,            0.027805,            0.020354,             0.94997,             0.90386,             0.94496,             0.64421,            0.031737,            0.011917,            0.009728,            0.004654,            0.004654,            0.004654
                 110,            0.033278,            0.027862,            0.020446,             0.94908,             0.90424,             0.94503,             0.64439,            0.031731,            0.011916,           0.0097151,           0.0046045,           0.0046045,           0.0046045
                 111,            0.033104,            0.027595,            0.020139,             0.94968,             0.90464,              0.9449,             0.64493,            0.031724,            0.011913,           0.0097071,            0.004555,            0.004555,            0.004555
                 112,            0.033138,            0.027567,            0.020098,             0.95015,              0.9056,             0.94501,             0.64514,            0.031719,            0.011913,           0.0096953,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03302,            0.027411,            0.020139,             0.95059,              0.9059,             0.94523,             0.64483,            0.031716,            0.011911,           0.0096873,            0.004456,            0.004456,            0.004456
                 114,            0.033001,            0.027728,            0.020254,             0.95101,              0.9063,             0.94533,              0.6451,            0.031716,            0.011911,           0.0096748,           0.0044065,           0.0044065,           0.0044065
                 115,            0.033109,            0.027713,            0.020173,             0.95087,             0.90714,             0.94538,             0.64546,            0.031712,            0.011911,           0.0096674,            0.004357,            0.004357,            0.004357
                 116,            0.032957,            0.027468,            0.019944,             0.95052,             0.90698,             0.94538,              0.6457,            0.031705,            0.011909,           0.0096609,           0.0043075,           0.0043075,           0.0043075
                 117,            0.032846,            0.027309,            0.019909,             0.95048,             0.90719,              0.9457,             0.64583,            0.031701,            0.011906,           0.0096561,            0.004258,            0.004258,            0.004258
                 118,            0.032971,            0.027408,            0.020047,             0.95047,             0.90772,              0.9459,             0.64567,            0.031694,            0.011906,           0.0096488,           0.0042085,           0.0042085,           0.0042085
                 119,            0.032848,            0.027291,            0.019876,             0.95048,             0.90843,             0.94586,             0.64599,            0.031684,            0.011904,           0.0096412,            0.004159,            0.004159,            0.004159
                 120,            0.032707,            0.027138,            0.019814,             0.95055,             0.90881,             0.94592,             0.64613,            0.031675,              0.0119,           0.0096323,           0.0041095,           0.0041095,           0.0041095
                 121,            0.032762,            0.027312,            0.019814,             0.95063,             0.90872,              0.9458,             0.64654,            0.031671,            0.011901,           0.0096207,             0.00406,             0.00406,             0.00406
                 122,            0.032638,            0.027141,            0.019646,             0.95013,             0.90937,             0.94615,             0.64636,            0.031662,            0.011898,           0.0096104,           0.0040105,           0.0040105,           0.0040105
                 123,            0.032684,             0.02724,            0.019678,             0.95033,             0.90948,              0.9459,             0.64636,            0.031655,            0.011896,           0.0096017,            0.003961,            0.003961,            0.003961
                 124,            0.032658,            0.027054,            0.019318,             0.95086,             0.91039,             0.94611,             0.64658,            0.031653,            0.011896,            0.009589,           0.0039115,           0.0039115,           0.0039115
                 125,            0.032441,            0.026911,            0.019516,             0.95025,             0.91074,             0.94618,              0.6467,             0.03165,            0.011894,           0.0095757,            0.003862,            0.003862,            0.003862
                 126,            0.032683,            0.027251,            0.019602,             0.95028,             0.91139,             0.94627,             0.64666,            0.031647,            0.011894,           0.0095626,           0.0038125,           0.0038125,           0.0038125
                 127,            0.032438,            0.027105,            0.019486,             0.95001,             0.91172,              0.9462,              0.6469,            0.031645,            0.011892,           0.0095543,            0.003763,            0.003763,            0.003763
                 128,            0.032501,            0.027002,            0.019513,              0.9502,              0.9115,             0.94652,              0.6467,            0.031642,            0.011892,           0.0095414,           0.0037135,           0.0037135,           0.0037135
                 129,            0.032529,            0.027063,            0.019346,             0.95026,             0.91238,             0.94639,             0.64666,             0.03164,             0.01189,           0.0095325,            0.003664,            0.003664,            0.003664
                 130,             0.03251,            0.027065,            0.019517,             0.94997,             0.91321,             0.94652,             0.64725,            0.031636,            0.011889,           0.0095272,           0.0036145,           0.0036145,           0.0036145
